Hour,As,as,DNI,DHI,GHI,SF_Site1,SF_Site2,SF_Site3,SF_Site4
0,0,0,0,0,0,0,0,0,0
1,4.1,-26.8,0,0,0,0,0,0,0
2,20.3,-24.9,0,0,0,0,0,0,0
3,35.6,-20.5,0,0,0,0,0,0,0
4,49.6,-14.3,0,0,0,0,0,0,0
5,62.4,-6.7,0,0,0,0,0,0,0
6,74.4,1.9,0,8,0,0,0,0,0
7,86.1,11,207,38,62,0,1,0,0
8,98.1,20.2,354,83,180,1,1,1,0
9,111,29.1,491,123,330,0,1,1,0
10,125.7,37.2,624,128,473,1,1,0,0
11,143.1,43.8,670,154,593,1,1,0,0
12,163.4,47.9,651,194,667,1,1,0,1
13,185.6,48.8,581,230,670,1,1,1,1
14,207.2,46.2,572,234,661,1,1,1,0
15,226,40.6,533,223,594,1,1,0,1
16,242,33.2,496,198,500,1,0,0,0
17,255.6,24.6,498,152,396,1,0,0,0
18,268,15.4,447,104,260,0,0,0,0
19,279.7,6.2,258,71,121,0,0,0,0
20,291.4,-2.7,0,0,8,0,0,0,0
21,303.8,-10.9,0,0,0,0,0,0,0
22,317.2,-17.9,0,0,0,0,0,0,0
23,331.8,-23.3,0,0,0,0,0,0,0
